Observation,Level,Month
1,14.763,1921-01
2,14.649,1921-02
3,15.085,1921-03
4,16.376,1921-04
5,16.926,1921-05
6,16.774,1921-06
7,16.49,1921-07
8,15.769,1921-08
9,15.18,1921-09
10,14.383,1921-10
11,14.478,1921-11
12,14.364,1921-12
13,13.928,1922-01
14,13.283,1922-02
15,13.7,1922-03
16,15.465,1922-04
17,16.243,1922-05
18,16.49,1922-06
19,16.243,1922-07
20,15.787,1922-08
21,15.446,1922-09
22,14.649,1922-10
23,13.776,1922-11
24,13.188,1922-12
25,13.283,1923-01
26,12.657,1923-02
27,12.979,1923-03
28,13.909,1923-04
29,14.535,1923-05
30,14.877,1923-06
31,14.858,1923-07
32,14.288,1923-08
33,13.947,1923-09
34,13.416,1923-10
35,12.903,1923-11
36,13.454,1923-12
37,13.491,1924-01
38,13.567,1924-02
39,13.397,1924-03
40,14.44,1924-04
41,15.161,1924-05
42,15.427,1924-06
43,15.693,1924-07
44,15.142,1924-08
45,14.763,1924-09
46,14.288,1924-10
47,13.074,1924-11
48,12.543,1924-12
49,12.239,1925-01
50,12.011,1925-02
51,12.827,1925-03
52,13.567,1925-04
53,13.548,1925-05
54,13.302,1925-06
55,13.188,1925-07
56,13.112,1925-08
57,12.827,1925-09
58,12.201,1925-10
59,11.917,1925-11
60,11.803,1925-12
61,11.157,1926-01
62,10.892,1926-02
63,11.12,1926-03
64,12.6,1926-04
65,13.283,1926-05
66,13.416,1926-06
67,13.34,1926-07
68,13.529,1926-08
69,13.776,1926-09
70,14.307,1926-10
71,13.852,1926-11
72,13.833,1926-12
73,13.169,1927-01
74,12.941,1927-02
75,13.188,1927-03
76,14.383,1927-04
77,14.763,1927-05
78,15.218,1927-06
79,15.161,1927-07
80,14.858,1927-08
81,14.156,1927-09
82,13.586,1927-10
83,13.15,1927-11
84,14.137,1927-12
85,14.231,1928-01
86,14.364,1928-02
87,13.833,1928-03
88,14.478,1928-04
89,15.009,1928-05
90,15.617,1928-06
91,16.148,1928-07
92,15.977,1928-08
93,15.142,1928-09
94,14.592,1928-10
95,14.364,1928-11
96,14.497,1928-12
97,14.554,1929-01
98,14.991,1929-02
99,15.863,1929-03
100,17.932,1929-04
101,19.184,1929-05
102,19.184,1929-06
103,18.956,1929-07
104,18.254,1929-08
105,17.514,1929-09
106,16.66,1929-10
107,16.338,1929-11
108,16.319,1929-12
109,17.457,1930-01
110,17.173,1930-02
111,17.856,1930-03
112,18.596,1930-04
113,18.558,1930-05
114,18.159,1930-06
115,17.685,1930-07
116,16.812,1930-08
117,16.072,1930-09
118,15.332,1930-10
119,14.478,1930-11
120,14.213,1930-12
121,13.738,1931-01
122,13.169,1931-02
123,12.581,1931-03
124,13.245,1931-04
125,13.852,1931-05
126,14.175,1931-06
127,14.288,1931-07
128,13.985,1931-08
129,13.435,1931-09
130,12.884,1931-10
131,12.429,1931-11
132,12.41,1931-12
133,13.397,1932-01
134,13.909,1932-02
135,13.833,1932-03
136,14.099,1932-04
137,14.687,1932-05
138,14.611,1932-06
139,14.383,1932-07
140,13.909,1932-08
141,13.359,1932-09
142,12.296,1932-10
143,12.106,1932-11
144,11.803,1932-12
145,12.353,1933-01
146,12.22,1933-02
147,12.827,1933-03
148,14.25,1933-04
149,15.085,1933-05
150,14.953,1933-06
151,14.44,1933-07
152,13.89,1933-08
153,13.036,1933-09
154,12.201,1933-10
155,11.404,1933-11
156,11.309,1933-12
157,10.987,1934-01
158,10.361,1934-02
159,10.304,1934-03
160,11.347,1934-04
161,11.784,1934-05
162,11.841,1934-06
163,11.841,1934-07
164,11.651,1934-08
165,11.404,1934-09
166,10.873,1934-10
167,10.209,1934-11
168,10.076,1934-12
169,10.247,1935-01
170,10.133,1935-02
171,10.74,1935-03
172,11.556,1935-04
173,12.201,1935-05
174,12.505,1935-06
175,12.732,1935-07
176,12.201,1935-08
177,12.068,1935-09
178,11.29,1935-10
179,11.139,1935-11
180,11.101,1935-12
181,10.342,1936-01
182,10,1936-02
183,11.347,1936-03
184,12.77,1936-04
185,13.321,1936-05
186,13.34,1936-06
187,13.188,1936-07
188,12.676,1936-08
189,12.315,1936-09
190,12.049,1936-10
191,11.594,1936-11
192,11.252,1936-12
193,12.467,1937-01
194,13.491,1937-02
195,13.491,1937-03
196,14.156,1937-04
197,15.256,1937-05
198,15.598,1937-06
199,16.034,1937-07
200,15.598,1937-08
201,14.516,1937-09
202,13.435,1937-10
203,12.638,1937-11
204,12.106,1937-12
205,12.144,1938-01
206,12.979,1938-02
207,11.917,1938-03
208,15.066,1938-04
209,15.199,1938-05
210,15.427,1938-06
211,15.427,1938-07
212,15.408,1938-08
213,14.706,1938-09
214,14.137,1938-10
215,13.302,1938-11
216,12.979,1938-12
217,13.036,1939-01
218,12.903,1939-02
219,13.719,1939-03
220,14.801,1939-04
221,15.541,1939-05
222,15.617,1939-06
223,15.503,1939-07
224,15.218,1939-08
225,14.592,1939-09
226,13.852,1939-10
227,13.416,1939-11
228,13.055,1939-12
229,12.315,1940-01
230,12.239,1940-02
231,12.562,1940-03
232,13.89,1940-04
233,14.687,1940-05
234,15.313,1940-06
235,15.408,1940-07
236,15.028,1940-08
237,14.782,1940-09
238,14.213,1940-10
239,13.435,1940-11
240,13.662,1940-12
241,14.288,1941-01
242,13.491,1941-02
243,13.15,1941-03
244,13.586,1941-04
245,13.871,1941-05
246,14.175,1941-06
247,14.099,1941-07
248,13.719,1941-08
249,13.093,1941-09
250,12.562,1941-10
251,12.03,1941-11
252,12.144,1941-12
253,11.86,1942-01
254,12.41,1942-02
255,12.77,1942-03
256,14.63,1942-04
257,15.218,1942-05
258,15.92,1942-06
259,15.882,1942-07
260,15.75,1942-08
261,15.275,1942-09
262,14.801,1942-10
263,14.554,1942-11
264,14.345,1942-12
265,15.104,1943-01
266,14.554,1943-02
267,14.953,1943-03
268,15.958,1943-04
269,17.59,1943-05
270,18.805,1943-06
271,18.805,1943-07
272,18.33,1943-08
273,17.476,1943-09
274,16.812,1943-10
275,16.224,1943-11
276,15.541,1943-12
277,14.744,1944-01
278,14.478,1944-02
279,14.725,1944-03
280,16.319,1944-04
281,17.324,1944-05
282,17.609,1944-06
283,17.211,1944-07
284,16.546,1944-08
285,15.977,1944-09
